date,title,category,href
2026-04-01,★★★ 2026W杯 出場48カ国すべて確定 → 出場国・メンバー・背番号 一覧,nt,/wc/2026/
2026-04-01,※出場国ごとの最新メンバー・背番号・所属クラブを掲載,nt,
2026-04-01,イラク代表 出場決定 | 大陸間PO パスB勝者 | グループI | メンバー・背番号 一覧,nt,/wc/2026/team/イラク/
2026-04-01,コンゴ民主共和国代表 出場決定 | 大陸間PO パスA勝者 | グループK | メンバー・背番号 一覧,nt,/wc/2026/team/コンゴ民主共和国/
2026-04-01,ボスニア・ヘルツェゴビナ代表 出場決定 | 欧州PO パスA勝者 | グループB | メンバー・背番号 一覧,nt,/wc/2026/team/ボスニア・ヘルツェゴビナ/
2026-04-01,スウェーデン代表 出場決定 | 欧州PO パスB勝者 | グループF | メンバー・背番号 一覧,nt,/wc/2026/team/スウェーデン/
2026-04-01,トルコ代表 出場決定 | 欧州PO パスC勝者 | グループD | メンバー・背番号 一覧,nt,/wc/2026/team/トルコ/
2026-04-01,チェコ代表 出場決定 | 欧州PO パスD勝者 | グループA | メンバー・背番号 一覧,nt,/wc/2026/team/チェコ/
2026-04-01,★　イングランド代表(日本戦)｜最新メンバー・背番号更新,nt,/wc/2026/team/イングランド/
2026-03-31,ジャマイカ代表｜大陸間PO パスB 決勝進出｜メンバー・背番号更新,nt,/wc/2026/team/ジャマイカ/
2026-03-31,ボリビア代表｜大陸間PO パスA 決勝進出｜メンバー・背番号更新,nt,/wc/2026/team/ボリビア/
2026-03-30,ポルトガル代表｜メンバー・背番号更新,nt,/wc/2026/team/ポルトガル/
2026-03-30,メキシコ代表｜メンバー・背番号更新,nt,/wc/2026/team/メキシコ/
2026-03-30,ベルギー代表｜メンバー・背番号更新,nt,/wc/2026/team/ベルギー/
2026-03-30,アメリカ合衆国代表｜メンバー・背番号更新,nt,/wc/2026/team/アメリカ/
2026-03-30,アルゼンチン代表｜メンバー・背番号更新,nt,/wc/2026/team/アルゼンチン/
2026-03-30,スコットランド代表｜メンバー・背番号更新,nt,/wc/2026/team/スコットランド/
2026-03-29,★　日本代表｜メンバー・背番号更新,nt,/wc/2026/team/日本/
2026-03-29,スペイン代表｜メンバー・背番号更新,nt,/wc/2026/team/スペイン/
2026-03-29,ドイツ代表｜メンバー・背番号更新,nt,/wc/2026/team/ドイツ/
2026-03-29,スイス代表｜メンバー・背番号更新,nt,/wc/2026/team/スイス/
2026-03-29,ウルグアイ代表｜メンバー・背番号更新,nt,/wc/2026/team/ウルグアイ/
2026-03-29,★　オランダ代表｜メンバー・背番号更新,nt,/wc/2026/team/オランダ/
2026-03-29,ノルウェー代表｜メンバー・背番号更新,nt,/wc/2026/team/ノルウェー/
2026-03-29,パラグアイ代表｜メンバー・背番号更新,nt,/wc/2026/team/パラグアイ/
2026-03-29,オーストリア代表｜メンバー・背番号更新,nt,/wc/2026/team/オーストリア/
2026-03-29,ガーナ代表｜メンバー・背番号更新,nt,/wc/2026/team/ガーナ/
2026-03-27,チェコ代表 欧州PO パスD 決勝進出｜メンバー・背番号更新,nt,/wc/2026/team/チェコ
2026-03-27,デンマーク代表 欧州PO パスD 決勝進出｜メンバー・背番号更新,nt,/wc/2026/team/デンマーク
2026-03-27,コソボ代表 欧州PO パスC 決勝進出｜メンバー・背番号更新,nt,/wc/2026/team/コソボ
2026-03-27,トルコ代表 欧州PO パスC 決勝進出｜メンバー・背番号更新,nt,/wc/2026/team/トルコ
2026-03-27,スウェーデン代表 欧州PO パスB 決勝進出｜メンバー・背番号更新,nt,/wc/2026/team/スウェーデン
2026-03-27,ポーランド代表 欧州PO パスB 決勝進出｜メンバー・背番号更新,nt,/wc/2026/team/ポーランド
2026-03-27,ボスニア・ヘルツェゴビナ代表 欧州PO パスA 決勝進出｜メンバー・背番号更新,nt,/wc/2026/team/ボスニア・ヘルツェゴビナ
2026-03-27,イタリア代表 欧州PO パスA 決勝進出｜メンバー・背番号更新,nt,/wc/2026/team/イタリア
2026-03-27,フランス代表｜メンバー・背番号更新,nt,/wc/2026/team/フランス
2026-03-27,ブラジル代表｜メンバー・背番号更新,nt,/wc/2026/team/ブラジル
2026-03-27,アルバニア代表(欧州PO)　メンバー更新,nt,/wc/2026/team/アルバニア
2026-03-27,スロバキア代表(欧州PO)　メンバー更新,nt,/wc/2026/team/スロバキア
2026-03-27,ルーマニア代表(欧州PO)　メンバー更新,nt,/wc/2026/team/ルーマニア
2026-03-27,ボスニア・ヘルツェゴビナ代表(欧州PO)　メンバー更新,nt,/wc/2026/team/ボスニア・ヘルツェゴビナ
2026-03-27,コソボ代表(欧州PO)　メンバー更新,nt,/wc/2026/team/コソボ
2026-03-27,北マケドニア代表(欧州PO)　メンバー更新,nt,/wc/2026/team/北マケドニア
2026-03-27,北アイルランド代表(欧州PO)　メンバー更新,nt,/wc/2026/team/北アイルランド
2026-03-26,イラン代表｜メンバー更新,nt,/wc/2026/team/イラン
2026-03-26,カーボベルデ代表｜メンバー更新,nt,/wc/2026/team/カーボベルデ
2026-03-26,ハイチ代表｜メンバー更新,nt,/wc/2026/team/ハイチ
2026-03-26,フランス代表｜メンバー入替（サリバout / ラクロワin）,nt,/wc/2026/team/フランス
2026-03-25,エクアドル代表｜メンバー更新,nt,/wc/2026/team/エクアドル
2026-03-25,パラグアイ代表｜メンバー更新,nt,/wc/2026/team/パラグアイ
2026-03-25,キュラソー代表｜メンバー更新,nt,/wc/2026/team/キュラソー
2026-03-25,★　イングランド代表｜メンバー入替（エゼ・クアンサーout / バーンズ・ホワイトin）,nt,/wc/2026/team/イングランド
2026-03-25,★　日本代表｜メンバー入替（安藤out / 橋岡in）,nt,/wc/2026/team/日本
2026-03-24,ノルウェー代表｜メンバー更新,nt,/wc/2026/team/ノルウェー
2026-03-24,サウジアラビア代表｜メンバー更新,nt,/wc/2026/team/サウジアラビア
2026-03-24,パナマ代表｜メンバー更新,nt,/wc/2026/team/パナマ
2026-03-24,ヨルダン代表｜メンバー更新,nt,/wc/2026/team/ヨルダン
2026-03-24,ウズベキスタン代表｜メンバー更新,nt,/wc/2026/team/ウズベキスタン
2026-03-10,ウルグアイ代表｜メンバー更新,nt,/wc/2026/team/ウルグアイ
2026-03-23,エジプト代表｜メンバー更新,nt,/wc/2026/team/エジプト
2026-03-22,カタール代表｜メンバー更新,nt,/wc/2026/team/カタール
2026-03-22,南アフリカ共和国代表｜メンバー更新,nt,/wc/2026/team/南アフリカ共和国
2026-03-21,アイルランド代表(欧州PO)　メンバー更新,nt,/wc/2026/team/アイルランド
2026-03-21,トルコ代表(欧州PO)　メンバー更新,nt,/wc/2026/team/トルコ
2026-03-21,ポーランド代表(欧州PO)　メンバー更新,nt,/wc/2026/team/ポーランド
2026-03-21,ジャマイカ代表(大陸間PO)　メンバー更新,nt,/wc/2026/team/ジャマイカ
2026-03-21,★　オランダ代表(日本と同組)　メンバー更新,nt,/wc/2026/team/オランダ
2026-03-21,ベルギー代表｜メンバー更新,nt,/wc/2026/team/ベルギー
2026-03-21,イタリア代表(欧州PO)　メンバー更新,nt,/wc/2026/team/イタリア
2026-03-21,ポルトガル代表｜メンバー更新,nt,/wc/2026/team/ポルトガル
2026-03-21,★　イングランド代表｜メンバー誤報訂正（35選手）,nt,/wc/2026/team/イングランド
2026-03-21,スペイン代表｜メンバー更新,nt,/wc/2026/team/スペイン
2026-03-21,スイス代表｜メンバー更新,nt,/wc/2026/team/スイス
2026-03-21,メキシコ代表｜メンバー更新,nt,/wc/2026/team/メキシコ
2026-03-21,デンマーク代表｜メンバー更新,nt,/wc/2026/team/デンマーク
2026-03-20,コートジボワール代表｜メンバー更新,nt,/wc/2026/team/コートジボワール
2026-03-20,コロンビア代表｜メンバー更新,nt,/wc/2026/team/コロンビア
2026-03-20,セネガル代表｜メンバー更新,nt,/wc/2026/team/セネガル
2026-03-20,アルジェリア代表｜メンバー更新,nt,/wc/2026/team/アルジェリア
2026-03-20,モロッコ代表　最新メンバー更新,nt,/wc/2026/team/モロッコ
2026-03-19,★　日本代表｜メンバー更新,nt,/wc/2026/team/日本
2026-03-19,フランス代表｜メンバー更新,nt,/wc/2026/team/フランス
2026-03-19,ドイツ代表｜メンバー更新,nt,/wc/2026/team/ドイツ
2026-03-19,アルゼンチン代表｜メンバー更新,nt,/wc/2026/team/アルゼンチン
2026-03-19,★　チュニジア代表(日本と同組)　メンバー更新,nt,/wc/2026/team/チュニジア
2026-03-19,チェコ代表(欧州PO)　メンバー更新,nt,/wc/2026/team/チェコ
2026-03-19,オーストラリア代表｜メンバー更新,nt,/wc/2026/team/オーストラリア
2026-03-19,カナダ代表｜メンバー更新,nt,/wc/2026/team/カナダ
2026-03-18,★　日本代表、アイスランド代表との親善試合決定！,nt,/wc/2026/team/アイスランド
2026-03-18,スウェーデン代表(欧州PO)　メンバー更新,nt,/wc/2026/team/スウェーデン
2026-03-18,アメリカ合衆国代表｜メンバー更新,nt,/wc/2026/team/アメリカ
2026-03-17,★　スコットランド代表｜メンバー更新,nt,/wc/2026/team/スコットランド
2026-03-17,ブラジル代表｜メンバー更新,nt,/wc/2026/team/ブラジル
2026-03-17,ガーナ代表｜メンバー更新,nt,/wc/2026/team/ガーナ
2026-03-17,オーストリア代表｜メンバー更新,nt,/wc/2026/team/オーストリア
2026-03-17,ウェールズ代表(欧州PO)　メンバー更新,nt,/wc/2026/team/ウェールズ
2026-03-17,ニュージーランド代表｜メンバー更新,nt,/wc/2026/team/ニュージーランド
2026-03-16,ウクライナ代表(欧州PO)　メンバー更新,nt,/wc/2026/team/ウクライナ
2026-03-16,クロアチア代表｜メンバー更新,nt,/wc/2026/team/クロアチア
2026-03-16,韓国代表｜メンバー更新,nt,/wc/2026/team/韓国
2026-03-12,コンゴ民主共和国代表(大陸間PO)　メンバー更新,nt,/wc/2026/team/コンゴ民主共和国
2026-03-09,ボリビア代表(大陸間PO)　メンバー更新,nt,/wc/2026/team/ボリビア
2026-03-12,★【日本代表】 親善試合、本戦対戦国リンク追加,nt,
2026-03-08,【海外強豪クラブ】  欧州強豪クラブのあゆみページ（歴代メンバー）を更新！,nt,
2026-02-23,【FIFAワールドカップ 2026】  強豪国のあゆみページ（歴代メンバー）を更新！,nt,
2026-02-19,【FIFAワールドカップ 2026】  歴代日本代表特設ページ（ワールドカップの歩み（歴代メンバー））を公開！,nt,
2026-02-16,【FIFAワールドカップ 2026】  ワールドカップ特設ページを公開！,nt,
2026-02-04,【欧州主要リーグ 2025-26シーズン】  登録メンバーに冬移籍を反映！,clubs,
2026-02-02,【欧州主要リーグ 2025-26シーズン】  冬の主な移籍一覧を公開！,clubs,
2026-01-30,【UEFAチャンピオンズリーグ 2025-26】  リーグフェーズ最終順位を更新！,clubs,
2025-01-09,【FIFAワールドカップ 2026】  UEFAプレーオフ出場16ヵ国の招集メンバーを更新！,nt,
2025-01-09,【FIFAワールドカップ 2026】  出場国の招集メンバー一覧を更新！,nt,
